model,variant,outcome,fixed_effects,estimate,std_error,analytic_p,boot_se,boot_p,n_obs,n_clusters
H2 matched,(1) main,sentiment_z,topic,0.22229643467973667,0.0690263396863446,0.0024718285566242954,0.06902193903996591,0.03196031960319603,31379,43
H2 matched,(2) pre-period topic adj.,sentiment_z_tdm,none,0.2367826472431772,0.06880527931276606,0.0013217399824156596,0.06880527931276488,0.025310253102531027,31379,43
H2 matched,(3) pre-period z-score,sentiment_z_pre,topic,0.26497662283601714,0.06438260578495693,1.7640129249341612e-4,0.06437850119124577,0.00871008710087101,31379,43
H2 matched,(4) both,sentiment_z_pre_tdm,none,0.2808665362896351,0.0644363893024413,8.274936313908115e-5,0.06443638930243388,0.005330053300533005,31379,43
H3a matched,(1) main,sentiment_z,topic,-0.38037380516206487,0.11196871614823102,0.005297599935550503,0.11192951827692925,0.027030270302703028,5721,13
H3a matched,(2) pre-period topic adj.,sentiment_z_tdm,none,-0.38209193353677673,0.11179228773913953,0.005098553183171326,0.11179228773914462,0.023650236502365023,5721,13
H3a matched,(3) pre-period z-score,sentiment_z_pre,topic,-0.3520586095948886,0.08595899062473573,0.001483845242578389,0.08592889820637105,0.008410084100841009,5721,13
H3a matched,(4) both,sentiment_z_pre_tdm,none,-0.35270233084086233,0.08392423557123292,0.001226160059638254,0.08392423557123552,0.003980039800398004,5721,13
