model,param,estimate,n_obs,source_domain_clusters,source_domain_se,source_domain_p,source_domain_ci_lower,source_domain_ci_upper,country_clusters,country_se,country_p,country_ci_lower,country_ci_upper,boot_ok,boot_err
H2_table2_model3,treatment:state_owned,0.07970986922756436,40710,60,0.0632914208098787,0.24979249792497926,-0.08520312590784673,0.20850355897805944,11,0.046634784590247856,0.15464154641546415,-0.05596625682198073,0.1757354517438899,TRUE,
H2_table2_model6,treatment:state_owned,0.22229643467973667,31379,43,0.06902193903996591,0.031130311303113032,0.03128556316259515,0.3638180139704938,8,0.05318302914551947,0.02080020800208002,0.04038389596609735,0.3135854161624079,TRUE,
H3a_table4_model3,treatment:csto,-0.1926311188646402,7164,13,0.11099552550660492,0.25989259892598926,-0.464976982653205,0.11091611142699284,8,0.12175569124859066,0.2738527385273853,-0.5287285418702136,0.13028099281204863,TRUE,
H3a_table4_model5,treatment:csto,-0.38037380516206487,5721,13,0.11192951827692925,0.027530275302753027,-0.7663605485982611,-0.04968090997016397,8,0.12100246931470676,0.03229032290322903,-0.7945823549894329,-0.03747163128725345,TRUE,
