group,n_sources,estimate,std_error,ci_lower,ci_upper,p_value,bandwidth,n_within_bw
Armenia,2,0.09538352104758901,0.22346103891783956,-0.3425920671792798,0.5333591092744578,0.6694912696914166,21.80748529300071,325
Azerbaijan,2,-0.16326834906022805,0.14318404506462626,-0.4439039205476555,0.11736722242719941,0.25417418711483575,18.71549932058487,325
Belarus,3,0.3195272952843194,0.1425149650407279,0.040203096546507944,0.5988514940221308,0.024957407347386305,20.870248346588202,825
Kazakhstan,2,-0.17150524502767217,0.26548186145808356,-0.691840132034168,0.3488296419788237,0.5182696892017868,19.488100651383917,128
Pooled (HC),9,0.1080839488707653,0.08898810170913483,-0.06632952553172616,0.2824974232732568,0.22452297466982848,27.897693394807536,2061
Pooled (source-clustered),9,0.15263660503101525,0.08719157285340556,-0.01825573751705989,0.3235289475790904,0.08001673793571307,23.683142957498703,1835
