section,spec,scale,outcome,estimator,term,fixed_effects,estimate,std_error,p_value,ci_lower,ci_upper,n_obs,bandwidth,n_clusters,boot_se,boot_p,boot_ci_lower,boot_ci_upper,baseline_estimate,baseline_se,baseline_p,baseline_boot_p,baseline_n_obs,baseline_bandwidth,abs_change,pct_change,se_ratio,shift_in_baseline_ses,n_sources_dropped
s2_pre_period_zscore,H1,z-score,sentiment_z_pre,rdrobust,RD treatment effect,topic dummies as rdrobust covs,-0.24177104979618758,0.042496205542268364,1.2760711943555551e-8,-0.32506208213864496,-0.15848001745373017,46365,2213439.215916623,60,NA,NA,NA,NA,-0.21719148112736247,0.036191571818788,1.9591055152048726e-9,NA,45366,2129700.7326584053,-0.024579568668825102,11.317004028538063,1.1742017106924176,-0.6791517315659995,2
s2_pre_period_zscore,H2,z-score,sentiment_z_pre,feols,treatment:state_owned,topic_clean FE,0.27046151067277335,0.06580881619683203,1.7961126387762994e-4,0.14147623092698258,0.3994467904185641,33438,46.144611317216295,43,0.06580487908556594,0.006550065500655007,0.11009953043780202,0.4168615302077013,0.22189793584155232,0.0690976480994429,0.002535291814482167,0.03247032470324703,31405,42.281592879415946,0.048563574831221035,21.885546004311717,0.9524031281371879,0.7028252938700613,1
s2_pre_period_zscore,H3a,z-score,sentiment_z_pre,feols,treatment:csto,topic_clean FE,-0.2948196194231603,0.10040342841858446,0.012456156196467604,-0.49161033912358587,-0.09802889972273476,6667,44.012959809421154,13,0.10037327271029792,0.06559065590655906,-0.6293351751103331,0.030092731265987875,-0.33228760583738265,0.11086326865098543,0.011122899005755454,0.04797047970479705,6094,40.519258629620936,0.03746798641422233,-11.275770072675744,0.9056509846797847,0.3379657380676489,0
