spec,window,topic_clean,mean_z_pre,mean_z_post,change_z,mean_raw_pre,mean_raw_post,change_raw,topic_fe,topic_fe_centered,mean_z_pre_centered,fe_vs_pre_mean_gap,n_pre,n_post,share_pre,share_post,share_change
H1,full window,Military,0.00134855818603024,-0.3064262926562663,-0.30777485084229655,-0.2502833824529585,-0.46260108786370047,-0.21231770541074196,NA,NA,-0.2068355626976796,NA,8822,34747,0.17128766697732214,0.2834407374174076,0.11215307044008546
H1,full window,Economic,0.31085845161871484,0.010873673428164969,-0.29998477819054986,-0.03499278499278499,-0.23597622843890417,-0.20098344344611918,NA,NA,0.10267433073500498,NA,5544,20697,0.10764212488350419,0.16883106289256872,0.061188938009064525
H1,full window,Culture,0.46324882375981047,0.23724356961323198,-0.2260052541465785,0.07067932067932067,-0.10738047346433545,-0.17805979414365614,NA,NA,0.2550647028761006,NA,4004,6463,0.07774153463808636,0.05272045028142589,-0.02502108435666047
H1,full window,Political,0.10522082409234729,-0.037193069742969195,-0.1424138938353165,-0.18019984478075282,-0.2812545658208737,-0.10105472104012089,NA,NA,-0.10296329679136257,NA,20616,41066,0.40027958993476237,0.3349865405008565,-0.06529304943390585
H1,full window,Other,0.16024394676164647,0.13515210015576115,-0.025091846605885315,-0.10424988017255153,-0.1693429168578274,-0.06509303668527587,NA,NA,-0.04794017412206339,NA,12518,19617,0.24304908356632496,0.16002120890774124,-0.08302787465858372
H1,headline bandwidth,Military,-0.017728368717302958,-0.4162978948850634,-0.3985695261677605,-0.2928759894459103,-0.5247337513685677,-0.2318577619226574,NA,NA,-0.19032396933657345,NA,2653,10047,0.2250021202612162,0.29919594997022037,0.07419382970900418
H1,headline bandwidth,Culture,0.41863971845578285,0.02151900337366925,-0.3971207150821136,0.016474464579901153,-0.2534869617950273,-0.2699614263749284,NA,NA,0.24604411783651237,NA,607,1649,0.05147994232889492,0.04910661107802263,-0.0023733312508722876
H1,headline bandwidth,Economic,0.0953165959520908,-0.22021036000576516,-0.31552695595785596,-0.19465977605512488,-0.37896253602305474,-0.18430275996792986,NA,NA,-0.07727900466717968,NA,1161,4858,0.09846493087948435,0.14466944609886837,0.04620451521938401
H1,headline bandwidth,Other,0.27699900920309867,0.07928050132255271,-0.19771850788054596,-0.057007125890736345,-0.21628498727735368,-0.15927786138661734,NA,NA,0.10440340858382818,NA,1684,5502,0.1428207955220083,0.1638475282906492,0.021026732768640893
H1,headline bandwidth,Political,0.08975104820268305,-0.08985279210197514,-0.1796038403046582,-0.2173760112557158,-0.3198542172856647,-0.10247820602994892,NA,NA,-0.08284455241658743,NA,5686,11524,0.48223221100839625,0.34318046456223944,-0.1390517464461568
H2,full window,Military,0.00134855818603024,-0.3064262926562663,-0.30777485084229655,-0.2502833824529585,-0.46261440165774476,-0.21233101920478625,-0.23105369421059885,-0.24526075893417432,-0.2068355626976796,-0.03842519623649471,8822,34746,0.1712943186672362,0.2835158379163471,0.11222151924911089
H2,full window,Economic,0.31085845161871484,0.010873673428164969,-0.29998477819054986,-0.03499909796139275,-0.2360902982549427,-0.20109120029354996,-0.08662786826570196,-0.10083493298927744,0.10267433073500498,-0.2035092637242824,5543,20687,0.10762688827618345,0.16879906000620135,0.06117217173001789
H2,full window,Culture,0.46324882375981047,0.23724356961323198,-0.2260052541465785,0.07067932067932067,-0.10741371304751586,-0.17809303372683655,0.1636395726554385,0.14943250793186302,0.2550647028761006,-0.10563219494423759,4004,6461,0.07774455360956856,0.05271961747474583,-0.025024936134822727
H2,full window,Political,0.10522082409234729,-0.037193069742969195,-0.1424138938353165,-0.18020858598108172,-0.2813984650992813,-0.10118987911819957,0.028411404295101805,0.014204339571526326,-0.10296329679136257,0.11716763636288889,20615,41045,0.4002757174478661,0.3349135891117385,-0.06536212833612759
H2,full window,Other,0.16024394676164647,0.13515210015576115,-0.025091846605885315,-0.10424988017255153,-0.16936018353301044,-0.06511030336045891,0.1966659091436379,0.18245884442006244,-0.04794017412206339,0.23039901854212583,12518,19615,0.24305852199914565,0.16005189549096724,-0.08300662650817842
H2,headline bandwidth,Culture,0.4175142505280676,-0.027923117639250292,-0.44543736816731794,0.013725490196078431,-0.2804709141274238,-0.29419640432350225,0.1636395726554385,0.14943250793186302,0.2514071763830582,-0.10197466845119518,510,1444,0.04864555513162915,0.04777344008469529,-8.721150469338593e-4
H2,headline bandwidth,Military,-0.013713586013009187,-0.4137682855958917,-0.4000546995828825,-0.28971571906354515,-0.5225085720606127,-0.2327928529970676,-0.23105369421059885,-0.24526075893417432,-0.1798206601580186,-0.06544009877615573,2392,9041,0.22815719191148418,0.29911334612585194,0.07095615421436777
H2,headline bandwidth,Economic,0.07644852480374764,-0.2401352525412432,-0.3165837773449909,-0.20969337289812068,-0.392671341325492,-0.1829779684273713,-0.08662786826570196,-0.10083493298927744,-0.08965854934126177,-0.011176383648015667,1011,4421,0.0964326592903472,0.1462648051346523,0.04983214584430509
H2,headline bandwidth,Other,0.26602874242649516,0.0713011250185597,-0.19472761740793545,-0.0636604774535809,-0.22231270358306188,-0.158652226129481,0.1966659091436379,0.18245884442006244,0.09992166828148574,0.0825371761385767,1508,4912,0.14383822968332696,0.16250909812743997,0.018670868444113004
H2,headline bandwidth,Political,0.08425743897974582,-0.09913753867479576,-0.18339497765454157,-0.21923760616235433,-0.3252305918524212,-0.10599298569006688,0.028411404295101805,0.014204339571526326,-0.0818496351652636,0.09605397473678992,5063,10408,0.48292636398321254,0.34433931052736055,-0.13858705345585198
H3a,full window,Military,-0.022007631979989162,-0.2851675216354702,-0.26315988965548104,-0.13177710843373494,-0.2926509186351706,-0.16087381020143568,-0.12276887165678746,-0.23708441712306894,-0.13459534976242943,-0.10248906736063951,1328,3048,0.12777831232560377,0.18452597166727205,0.05674765934166828
H3a,full window,Economic,0.27077576374439394,0.04036993496585978,-0.23040582877853416,0.09351432880844646,-0.03147835862844295,-0.1249926874368894,0.11045870878362135,-0.003856836682660139,0.15818804596195368,-0.1620448826446138,1326,3558,0.12758587510824593,0.21540138031238648,0.08781550520414055
H3a,full window,Political,0.047274010389476685,-0.12069845714189818,-0.16797246753137487,-0.08675400291120815,-0.1722479515496972,-0.08549394863848904,0.04759600742999394,-0.06671953803628755,-0.06531370739296358,-0.0014058306433239742,3435,5614,0.33051092081208505,0.3398716551640634,0.009360734351978373
H3a,full window,Other,-0.03757098215647499,0.08143568903482006,0.11900667119129504,-0.06561085972850679,-0.026070164145477952,0.039540695583028834,0.19381636021156445,0.07950081474528296,-0.15015869993891523,0.2296595146841982,3094,3107,0.29770037525257387,0.18809783266739313,-0.10960254258518073
H3a,full window,Culture,0.3044674289147948,0.34069278468644304,0.03622535577164826,0.12148760330578512,0.13014273719563393,0.008655133889848815,0.34247552256301517,0.2281599770967337,0.19187971113235452,0.036280265964379166,1210,1191,0.11642451650149138,0.07210316018888485,-0.04432135631260653
H3a,headline bandwidth,Military,-0.02886644459514213,-0.32165869525916224,-0.2927922506640201,-0.1513859275053305,-0.2998805256869773,-0.14849459818164681,-0.12276887165678746,-0.23708441712306894,-0.12405445051509623,-0.11302996660797271,469,837,0.19150673744385463,0.17751855779427358,-0.013988179649581045
H3a,headline bandwidth,Culture,0.38020713043291077,0.1812460214992519,-0.19896110893365887,0.13744075829383887,0.04363636363636364,-0.09380439465747523,0.34247552256301517,0.2281599770967337,0.2850191245129567,-0.056859147416223,211,275,0.08615761535320539,0.05832449628844114,-0.027833119064764246
H3a,headline bandwidth,Other,0.04453997820253055,0.1284375516113942,0.08389757340886364,-0.032397408207343416,-0.005393743257820927,0.02700366494952249,0.19381636021156445,0.07950081474528296,-0.05064802771742354,0.1301488424627065,463,927,0.18905675786035117,0.19660657476139978,0.007549816901048612
H3a,headline bandwidth,Economic,0.09228783773204258,0.016409081684159693,-0.07587875604788288,-0.06711409395973154,-0.054626532887402456,0.012487561072329088,0.11045870878362135,-0.003856836682660139,-0.0029001681879115143,-9.566684947486248e-4,298,897,0.12168231931400572,0.1902439024390244,0.06856158312501867
H3a,headline bandwidth,Political,-0.012228472172571284,-0.055255594606082,-0.043027122433510714,-0.15376984126984128,-0.13827993254637436,0.015489908723466922,0.04759600742999394,-0.06671953803628755,-0.10741647809252537,0.04069694005623782,1008,1779,0.4115965700285831,0.3773064687168611,-0.034290101311722
