spec,variant,main_estimate,estimate,abs_change,pct_change,shift_in_main_ses,main_se,std_error,main_p,p_value,main_boot_p,boot_p,n_obs,n_clusters
H2 matched,(2) pre-period topic adj.,0.22229643467973667,0.2367826472431772,0.014486212563440543,6.516619389020289,0.20986499688764945,0.0690263396863446,0.06880527931276606,0.0024718285566242954,0.0013217399824156596,0.03340668133626725,0.023204640928185638,31379,43
H2 matched,(3) pre-period z-score,0.22229643467973667,0.26497662283601714,0.04268018815628047,19.199672823259615,0.6183174183973693,0.0690263396863446,0.06438260578495693,0.0024718285566242954,1.7640129249341612e-4,0.03340668133626725,0.008401680336067214,31379,43
H2 matched,(4) both,0.22229643467973667,0.2808665362896351,0.05857010160989842,26.347746734796083,0.8485181435962087,0.0690263396863446,0.0644363893024413,0.0024718285566242954,8.274936313908115e-5,0.03340668133626725,0.004600920184036807,31379,43
H3a matched,(2) pre-period topic adj.,-0.38037380516206487,-0.38209193353677673,-0.001718128374711858,-0.4516947148818041,-0.015344718005315831,0.11196871614823102,0.11179228773913953,0.005297599935550503,0.005098553183171326,0.029005801160232048,0.024204840968193638,5721,13
H3a matched,(3) pre-period z-score,-0.38037380516206487,-0.3520586095948886,0.028315195567176266,7.444044564296978,0.2528848819673067,0.11196871614823102,0.08595899062473573,0.005297599935550503,0.001483845242578389,0.029005801160232048,0.011002200440088018,5721,13
H3a matched,(4) both,-0.38037380516206487,-0.35270233084086233,0.027671474321202538,7.2748107113770955,0.24713576499858542,0.11196871614823102,0.08392423557123292,0.005297599935550503,0.001226160059638254,0.029005801160232048,0.0054010802160432084,5721,13
